Date, Rate
3/18/2020,0.1
3/19/2020,0.06
3/20/2020,0.04
3/23/2020,0.02
3/24/2020,0.01
3/25/2020,0.01
3/26/2020,0.01
3/27/2020,0.01
3/30/2020,0.01
3/31/2020,0.01
04/01/2020, 0.01
04/02/2020, 0.01
04/03/2020, 0.01
04/06/2020, 0.01
04/07/2020, 0.01
04/08/2020, 0.01
04/09/2020, 0.01
04/13/2020, 0.02
04/14/2020, 0.06
04/15/2020, 0.03
04/16/2020, 0.03
04/17/2020, 0.03
04/20/2020, 0.02
04/21/2020, 0.01
04/22/2020, 0.01
04/23/2020, 0.01
04/24/2020, 0.03
04/27/2020, 0.03
04/28/2020, 0.01
04/29/2020, 0.01
04/30/2020, 0.04
